0,CombatZoneResize,133,251,508,391,TLResume,,,
0,HeartTeleport,320,376,,,,,,
0,HeartMode,1,,,,,,,
0,TLPause,,,,,,,,
0.5,SET,Loop,20,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Ang,360,,,,,,
0,COS,X,$Ang,,,,,,
0,SIN,Y,$Ang,,,,,,
0,MUL,EndX,$X,200,,,,,
0,MUL,EndY,$Y,200,,,,,
0,MUL,X,$X,400,,,,,
0,MUL,Y,$Y,300,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,ADD,EndY,$EndY,$HeartY,,,,,
0,ADD,X,$X,$HeartX,,,,,
0,ADD,Y,$Y,$HeartY,,,,,
0,JMPNL,21,$EndX,50,,,,,
0,SET,EndX,50,,,,,,
0,JMPNG,23,$EndX,590,,,,,
0,SET,EndX,590,,,,,,
0,JMPNL,25,$EndY,40,,,,,
0,SET,EndY,40,,,,,,
0,JMPNG,27,$EndY,440,,,,,
0,SET,EndY,440,,,,,,
0,ANGLE,Ang,$EndX,$EndY,$HeartX,$HeartY,,,
0,GasterBlaster,1,$X,$Y,$EndX,$EndY,$Ang,0.4,0.2
0,Platform,552,346,51,2,300,,,
0,Platform,-20,306,51,0,300,,,
0.45,JMPNZ,6,$Loop,,,,,,
4,EndAttack,,,,,,,,
